Zone code,Region/Countries/Area,Year,Series,System of trade,System of trade footnote,Value,Footnotes,Source
670,Saint Vincent & Grenadines,2015,Balance imports/exports (millions of US dollars),S,,-287,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
670,Saint Vincent & Grenadines,2020,Balance imports/exports (millions of US dollars),S,,-266,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
670,Saint Vincent & Grenadines,2021,Balance imports/exports (millions of US dollars),S,,-338,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
670,Saint Vincent & Grenadines,2022,Balance imports/exports (millions of US dollars),S,,-435,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
882,Samoa,1995,Imports CIF (millions of US dollars),G,,95,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
882,Samoa,2005,Imports CIF (millions of US dollars),G,,239,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
882,Samoa,2010,Imports CIF (millions of US dollars),G,,310,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
882,Samoa,2015,Imports CIF (millions of US dollars),G,,371,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
882,Samoa,2020,Imports CIF (millions of US dollars),G,,363,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
882,Samoa,2021,Imports CIF (millions of US dollars),G,,368,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
882,Samoa,2022,Imports CIF (millions of US dollars),G,,459,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
882,Samoa,1995,Exports FOB (millions of US dollars),G,,9,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
882,Samoa,2005,Exports FOB (millions of US dollars),G,,87,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
882,Samoa,2010,Exports FOB (millions of US dollars),G,,70,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
882,Samoa,2015,Exports FOB (millions of US dollars),G,,59,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
882,Samoa,2020,Exports FOB (millions of US dollars),G,,55,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
882,Samoa,2021,Exports FOB (millions of US dollars),G,,29,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
882,Samoa,2022,Exports FOB (millions of US dollars),G,,34,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
882,Samoa,1995,Balance imports/exports (millions of US dollars),G,,-86,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
882,Samoa,2005,Balance imports/exports (millions of US dollars),G,,-151,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
882,Samoa,2010,Balance imports/exports (millions of US dollars),G,,-240,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
882,Samoa,2015,Balance imports/exports (millions of US dollars),G,,-312,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
882,Samoa,2020,Balance imports/exports (millions of US dollars),G,,-308,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
882,Samoa,2021,Balance imports/exports (millions of US dollars),G,,-339,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
882,Samoa,2022,Balance imports/exports (millions of US dollars),G,,-425,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
678,Sao Tome and Principe,1995,Imports CIF (millions of US dollars),S,,29,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
678,Sao Tome and Principe,2005,Imports CIF (millions of US dollars),S,,50,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
678,Sao Tome and Principe,2010,Imports CIF (millions of US dollars),S,,112,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
678,Sao Tome and Principe,2015,Imports CIF (millions of US dollars),S,,142,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
678,Sao Tome and Principe,2020,Imports CIF (millions of US dollars),S,,138,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
678,Sao Tome and Principe,2021,Imports CIF (millions of US dollars),S,,166,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
678,Sao Tome and Principe,2022,Imports CIF (millions of US dollars),S,,196,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
678,Sao Tome and Principe,1995,Exports FOB (millions of US dollars),S,,5,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
678,Sao Tome and Principe,2005,Exports FOB (millions of US dollars),S,,3,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
678,Sao Tome and Principe,2010,Exports FOB (millions of US dollars),S,,6,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
678,Sao Tome and Principe,2015,Exports FOB (millions of US dollars),S,,9,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
678,Sao Tome and Principe,2020,Exports FOB (millions of US dollars),S,,12,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
678,Sao Tome and Principe,2021,Exports FOB (millions of US dollars),S,,19,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
678,Sao Tome and Principe,2022,Exports FOB (millions of US dollars),S,,23,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
678,Sao Tome and Principe,1995,Balance imports/exports (millions of US dollars),S,,-24,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
678,Sao Tome and Principe,2005,Balance imports/exports (millions of US dollars),S,,-46,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
678,Sao Tome and Principe,2010,Balance imports/exports (millions of US dollars),S,,-106,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
678,Sao Tome and Principe,2015,Balance imports/exports (millions of US dollars),S,,-133,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
678,Sao Tome and Principe,2020,Balance imports/exports (millions of US dollars),S,,-126,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
678,Sao Tome and Principe,2021,Balance imports/exports (millions of US dollars),S,,-147,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
678,Sao Tome and Principe,2022,Balance imports/exports (millions of US dollars),S,,-174,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
682,Saudi Arabia,1995,Imports CIF (millions of US dollars),G,,"28,085",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
682,Saudi Arabia,2005,Imports CIF (millions of US dollars),G,,"57,233",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
682,Saudi Arabia,2010,Imports CIF (millions of US dollars),G,,"103,622",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
682,Saudi Arabia,2015,Imports CIF (millions of US dollars),G,,"174,786",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
682,Saudi Arabia,2020,Imports CIF (millions of US dollars),G,,"131,313",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
682,Saudi Arabia,2021,Imports CIF (millions of US dollars),G,,"152,695",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
682,Saudi Arabia,2022,Imports CIF (millions of US dollars),G,,"187,971",Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
682,Saudi Arabia,1995,Exports FOB (millions of US dollars),G,,"49,030",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
682,Saudi Arabia,2005,Exports FOB (millions of US dollars),G,,"180,278",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
682,Saudi Arabia,2010,Exports FOB (millions of US dollars),G,,"250,577",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
682,Saudi Arabia,2015,Exports FOB (millions of US dollars),G,,"203,689",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
682,Saudi Arabia,2020,Exports FOB (millions of US dollars),G,,"185,699",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
682,Saudi Arabia,2021,Exports FOB (millions of US dollars),G,,"286,467",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
682,Saudi Arabia,2022,Exports FOB (millions of US dollars),G,,"419,391",Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
682,Saudi Arabia,1995,Balance imports/exports (millions of US dollars),G,,"20,944",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
682,Saudi Arabia,2005,Balance imports/exports (millions of US dollars),G,,"123,045",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
682,Saudi Arabia,2010,Balance imports/exports (millions of US dollars),G,,"146,955",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
682,Saudi Arabia,2015,Balance imports/exports (millions of US dollars),G,,"28,903",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
682,Saudi Arabia,2020,Balance imports/exports (millions of US dollars),G,,"54,386",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
682,Saudi Arabia,2021,Balance imports/exports (millions of US dollars),G,,"133,772",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
682,Saudi Arabia,2022,Balance imports/exports (millions of US dollars),G,,"231,420",Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
686,Senegal,1995,Imports CIF (millions of US dollars),G,,"1,413",Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
686,Senegal,2005,Imports CIF (millions of US dollars),G,,"3,498",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
686,Senegal,2010,Imports CIF (millions of US dollars),G,,"4,777",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
686,Senegal,2015,Imports CIF (millions of US dollars),G,,"5,595",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
686,Senegal,2020,Imports CIF (millions of US dollars),G,,"7,812",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
686,Senegal,2021,Imports CIF (millions of US dollars),G,,"9,699",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
686,Senegal,2022,Imports CIF (millions of US dollars),G,,"12,057",Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
686,Senegal,1995,Exports FOB (millions of US dollars),G,,412,Estimate.;Major export partners were confidential or unknown (denoted Areas nes) and resulted in high partner concentration for exports.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
686,Senegal,2005,Exports FOB (millions of US dollars),G,,"1,471",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
686,Senegal,2010,Exports FOB (millions of US dollars),G,,"2,086",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
686,Senegal,2015,Exports FOB (millions of US dollars),G,,"2,612",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
686,Senegal,2020,Exports FOB (millions of US dollars),G,,"3,929",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
686,Senegal,2021,Exports FOB (millions of US dollars),G,,"5,202",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
686,Senegal,2022,Exports FOB (millions of US dollars),G,,"5,790",Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
686,Senegal,1995,Balance imports/exports (millions of US dollars),G,,"-1,001",Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
686,Senegal,2005,Balance imports/exports (millions of US dollars),G,,"-2,027",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
686,Senegal,2010,Balance imports/exports (millions of US dollars),G,,"-2,691",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
686,Senegal,2015,Balance imports/exports (millions of US dollars),G,,"-2,984",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
686,Senegal,2020,Balance imports/exports (millions of US dollars),G,,"-3,883",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
686,Senegal,2021,Balance imports/exports (millions of US dollars),G,,"-4,497",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
686,Senegal,2022,Balance imports/exports (millions of US dollars),G,,"-6,267",Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
688,Serbia,2010,Imports CIF (millions of US dollars),G,,"16,735",Special trade system up to 2008.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
688,Serbia,2015,Imports CIF (millions of US dollars),G,,"18,210",Special trade system up to 2008.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
688,Serbia,2020,Imports CIF (millions of US dollars),G,,"26,228",Special trade system up to 2008.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
688,Serbia,2021,Imports CIF (millions of US dollars),G,,"33,793",Special trade system up to 2008.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
688,Serbia,2022,Imports CIF (millions of US dollars),G,,"41,138",Special trade system up to 2008.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
688,Serbia,2010,Exports FOB (millions of US dollars),G,,"9,795",Special trade system up to 2008.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
688,Serbia,2015,Exports FOB (millions of US dollars),G,,"13,379",Special trade system up to 2008.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
688,Serbia,2020,Exports FOB (millions of US dollars),G,,"19,501",Special trade system up to 2008.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
688,Serbia,2021,Exports FOB (millions of US dollars),G,,"25,566",Special trade system up to 2008.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
688,Serbia,2022,Exports FOB (millions of US dollars),G,,"29,058",Special trade system up to 2008.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
688,Serbia,2010,Balance imports/exports (millions of US dollars),G,,"-6,940",Special trade system up to 2008.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
688,Serbia,2015,Balance imports/exports (millions of US dollars),G,,"-4,831",Special trade system up to 2008.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
688,Serbia,2020,Balance imports/exports (millions of US dollars),G,,"-6,727",Special trade system up to 2008.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
688,Serbia,2021,Balance imports/exports (millions of US dollars),G,,"-8,227",Special trade system up to 2008.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
688,Serbia,2022,Balance imports/exports (millions of US dollars),G,,"-12,079",Special trade system up to 2008.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
891,Serbia and Monten. [former],1995,Imports CIF (millions of US dollars),S,,"2,666",Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
891,Serbia and Monten. [former],2005,Imports CIF (millions of US dollars),S,,"11,393",Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
891,Serbia and Monten. [former],1995,Exports FOB (millions of US dollars),S,,"1,531",Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
891,Serbia and Monten. [former],2005,Exports FOB (millions of US dollars),S,,"4,430",Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
891,Serbia and Monten. [former],1995,Balance imports/exports (millions of US dollars),S,,"-1,135",Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
891,Serbia and Monten. [former],2005,Balance imports/exports (millions of US dollars),S,,"-6,963",Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
690,Seychelles,1995,Imports CIF (millions of US dollars),G,,255,"As of 2010, trade in services data reflect improvement of the coverage of balance of payment statistics.","United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
690,Seychelles,2005,Imports CIF (millions of US dollars),G,,675,"As of 2010, trade in services data reflect improvement of the coverage of balance of payment statistics.","United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
690,Seychelles,2010,Imports CIF (millions of US dollars),G,,"1,180","As of 2010, trade in services data reflect improvement of the coverage of balance of payment statistics.","United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
690,Seychelles,2015,Imports CIF (millions of US dollars),G,,975,"As of 2010, trade in services data reflect improvement of the coverage of balance of payment statistics.","United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
690,Seychelles,2020,Imports CIF (millions of US dollars),G,,"1,494","As of 2010, trade in services data reflect improvement of the coverage of balance of payment statistics.","United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
690,Seychelles,2021,Imports CIF (millions of US dollars),G,,"1,848","As of 2010, trade in services data reflect improvement of the coverage of balance of payment statistics.","United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
690,Seychelles,2022,Imports CIF (millions of US dollars),G,,"2,270","Estimate.;As of 2010, trade in services data reflect improvement of the coverage of balance of payment statistics.","United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
690,Seychelles,1995,Exports FOB (millions of US dollars),G,,53,"As of 2010, trade in services data reflect improvement of the coverage of balance of payment statistics.","United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
690,Seychelles,2005,Exports FOB (millions of US dollars),G,,340,"As of 2010, trade in services data reflect improvement of the coverage of balance of payment statistics.","United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
690,Seychelles,2010,Exports FOB (millions of US dollars),G,,418,"As of 2010, trade in services data reflect improvement of the coverage of balance of payment statistics.","United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
